EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,2,2,1,1,1,4,1,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
5,2,2,1,1,1,4,1,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
5,2,2,1,1,1,4,1,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
5,2,2,1,1,1,4,1,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
5,2,2,1,1,1,4,1,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
5,2,2,1,1,1,4,1,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
5,2,2,1,1,1,4,1,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
5,2,2,1,1,1,4,1,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
5,2,2,1,1,1,4,1,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
5,2,2,1,1,1,4,1,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
5,2,3,1,1,1,4,1,0,11,enesetunnetus; arvamus; täiskasvanu; ants; tooming
