EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,3,4,1,2,2,2,2,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
4,3,3,4,1,2,2,2,2,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
4,3,3,4,1,2,2,2,2,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
4,3,3,4,1,2,2,2,2,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
4,3,3,4,1,2,2,2,2,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
4,3,3,4,1,2,2,2,2,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
4,3,3,4,1,2,2,2,2,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
3,3,3,4,1,2,2,2,2,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
3,3,3,5,1,1,3,2,2,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
3,3,3,4,1,1,3,2,2,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
3,3,3,4,1,1,3,2,2,10,laulupidu; traditsioon; saatja; repertuaar; lastekoor; ühendproov
