EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,5,5,3,2,7,4,5,0,14,herned; eva; katariina; ja; koldits; redel; ema; kadri; poiss
1,5,5,3,2,7,4,6,0,14,herned; eva; katariina; ja; koldits; redel; ema; kadri; poiss
1,5,5,3,2,7,4,5,0,14,herned; eva; katariina; ja; koldits; redel; ema; kadri; poiss
1,5,5,3,2,7,4,6,0,14,herned; eva; katariina; ja; koldits; redel; ema; kadri; poiss
1,5,4,3,2,7,4,5,0,14,herned; eva; katariina; ja; koldits; redel; ema; kadri; poiss
1,5,6,3,2,7,5,6,0,14,herned; eva; katariina; ja; koldits; redel; ema; kadri; poiss
2,5,6,3,3,7,6,5,0,14,herned; eva; katariina; ja; koldits; redel; ema; kadri; poiss
1,5,7,6,3,7,5,5,0,14,herned; eva; katariina; ja; koldits; redel; ema; kadri; poiss
2,4,6,5,3,7,6,5,0,14,herned; eva; katariina; ja; koldits; redel; ema; kadri; poiss
1,5,7,4,4,6,4,5,0,14,herned; eva; katariina; ja; koldits; redel; ema; kadri; poiss
1,5,6,5,5,6,3,7,0,14,herned; eva; katariina; ja; koldits; redel; ema; kadri; poiss
