EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,8,4,2,8,11,8,0,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
4,6,8,4,2,8,11,8,0,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
4,6,8,4,2,8,11,8,0,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
4,6,8,4,2,8,11,8,0,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
4,6,8,4,2,8,11,8,0,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
4,6,8,4,2,8,11,8,0,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
4,6,8,4,2,8,11,8,0,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
4,6,8,4,2,8,11,8,0,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
4,6,8,4,2,8,11,8,0,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
4,6,8,4,2,8,11,8,0,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
4,6,8,4,2,8,11,8,0,15,põlendik; jürgens; tõnu; lasmann; peeter; piret; kriivan; rõõm; autasu; toomas; kadri; naissoo
