EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,2,4,2,1,3,2,3,2,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,2,4,2,1,3,2,3,2,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,2,4,2,1,3,2,3,1,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,2,4,2,1,3,2,3,2,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,2,4,2,1,3,2,3,2,12,hämarik; faehlmann; robert; päike; friedrich; koit
5,2,4,2,1,3,2,3,2,12,hämarik; faehlmann; robert; päike; friedrich; koit
5,2,3,2,1,3,2,4,3,12,hämarik; faehlmann; robert; päike; friedrich; koit
4,2,3,2,1,3,2,4,3,12,hämarik; faehlmann; robert; päike; friedrich; koit
4,2,3,3,0,3,2,4,3,12,hämarik; faehlmann; robert; päike; friedrich; koit
6,2,3,3,0,3,2,3,4,12,hämarik; faehlmann; robert; päike; friedrich; koit
5,3,3,3,0,4,2,4,4,12,hämarik; robert; faehlmann; päike; friedrich; koit
