EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,1,2,1,1,2,4,0,13,muusika; sonaat; vene; rumessen; jõud; vardo
4,2,1,2,1,1,2,4,0,13,muusika; sonaat; vene; rumessen; jõud; vardo
4,2,1,2,1,1,2,4,0,13,muusika; sonaat; vene; rumessen; jõud; vardo
4,2,1,2,1,1,2,4,0,13,muusika; sonaat; vene; rumessen; jõud; vardo
4,3,1,2,1,1,2,4,0,13,muusika; sonaat; vene; rumessen; jõud; vardo
3,3,0,2,1,1,2,4,0,13,muusika; sonaat; vene; rumessen; jõud; vardo
1,2,0,0,1,2,2,4,0,13,sonaat; muusika; jõud; vene; rumessen; vardo
2,2,0,2,1,2,2,4,0,13,muusika; sonaat; vene; jõud; rumessen; vardo
2,1,1,3,0,3,1,4,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
2,2,0,1,1,1,3,4,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
1,1,1,0,1,1,2,3,0,13,muusika; sonaat; vene; jõud; rumessen; vardo
