EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,5,2,2,3,3,3,3,10,vabadus; varandus; õigus; kolhoos; talu
2,2,5,2,2,3,3,3,3,10,vabadus; varandus; õigus; kolhoos; talu
2,2,5,2,2,3,3,3,3,10,vabadus; varandus; õigus; kolhoos; talu
2,2,5,2,2,3,3,3,3,10,vabadus; varandus; õigus; kolhoos; talu
2,2,5,2,2,3,3,3,3,10,vabadus; varandus; õigus; kolhoos; talu
2,2,5,2,2,3,3,3,3,10,vabadus; varandus; õigus; kolhoos; talu
3,2,5,2,2,3,3,3,3,10,vabadus; kolhoos; varandus; talu; õigus
3,2,4,2,2,3,3,3,3,10,vabadus; kolhoos; varandus; talu; õigus
3,2,4,2,2,3,3,3,3,10,vabadus; kolhoos; varandus; talu; õigus
3,3,4,2,2,3,3,4,3,10,vabadus; varandus; õigus; kolhoos; talu
4,3,4,2,1,3,3,4,4,10,vabadus; varandus; õigus; kolhoos; talu
