EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,1,1,2,3,3,4,1,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,1,1,1,2,3,3,4,1,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,1,1,1,2,3,3,4,1,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,1,1,1,2,3,3,4,1,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,1,1,1,2,3,3,4,1,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,1,1,1,2,3,3,4,1,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,1,1,1,2,3,4,4,1,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
2,1,1,1,2,3,3,4,1,12,infoajastu; andmete; tavakodanik; andmesubjekt; kuhjumine
1,1,1,0,2,3,3,4,1,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,1,1,0,2,3,2,4,1,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,1,1,0,2,2,3,4,1,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
