EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,1,2,0,0,0,1,1,14,kodaniku; internetiteenuse; lasteporno; vanglakaristus
0,1,1,2,0,0,0,1,1,14,kodaniku; internetiteenuse; lasteporno; vanglakaristus
0,1,1,2,0,0,0,1,1,14,kodaniku; internetiteenuse; lasteporno; vanglakaristus
0,1,1,2,0,0,0,1,1,14,kodaniku; internetiteenuse; lasteporno; vanglakaristus
0,1,0,2,0,0,0,1,1,14,kodaniku; internetiteenuse; lasteporno; vanglakaristus
0,1,0,2,0,0,0,1,1,14,kodaniku; internetiteenuse; lasteporno; vanglakaristus
0,1,0,2,0,0,0,1,1,14,kodaniku; internetiteenuse; lasteporno; vanglakaristus
0,1,2,1,0,0,0,1,1,14,vanglakaristus; internetiteenuse; lasteporno; pakkuja
1,1,0,0,0,0,0,2,1,14,lasteporno; internetiteenuse; port; vanglakaristus
1,1,2,0,0,0,0,2,1,14,internetiteenuse; lasteporno; vanglakaristus; pakkuja
0,1,1,0,0,1,0,2,1,14,tehnoloogia; internetiteenuse; lasteporno; vanglakaristus
