EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,2,1,1,3,4,5,3,1,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
5,2,1,1,3,4,5,3,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
5,2,1,1,3,4,5,3,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
5,2,1,1,3,4,5,3,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
5,2,1,1,3,4,5,3,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
5,2,1,1,3,4,5,3,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
5,2,1,1,3,4,5,3,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
5,2,1,1,3,4,5,3,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
5,2,1,1,3,4,5,3,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
5,2,1,1,3,4,5,3,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
3,2,1,1,3,4,5,3,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
