EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,0,1,0,1,1,1,1,11,raudtee; näitleja; tädi
2,1,0,1,0,1,1,1,1,11,raudtee; näitleja; tädi
2,1,0,1,0,1,1,1,1,11,raudtee; näitleja; tädi
2,1,0,1,0,1,1,1,1,11,raudtee; näitleja; tädi
2,1,0,1,0,1,1,1,1,11,raudtee; näitleja; tädi
2,1,0,1,0,1,1,1,1,11,raudtee; näitleja; tädi
2,1,0,1,0,1,1,1,1,11,raudtee; näitleja; tädi
2,1,0,1,0,1,1,1,1,11,raudtee; näitleja; tädi
2,1,0,1,0,1,1,1,1,11,raudtee; näitleja; tädi
2,1,0,1,0,1,1,1,1,11,raudtee; näitleja; tädi
2,1,0,1,0,1,1,1,1,11,raudtee; näitleja; tädi
