EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,1,0,2,1,2,2,2,11,marek; analoogantenn; elektron; valgus; telekas; signaal
0,1,1,0,2,1,2,2,1,11,marek; analoogantenn; elektron; valgus; telekas; signaal
0,1,1,0,2,1,2,2,1,11,marek; analoogantenn; elektron; valgus; telekas; signaal
0,1,1,0,2,1,2,2,1,11,marek; analoogantenn; elektron; valgus; telekas; signaal
0,1,1,0,2,1,2,2,1,11,marek; analoogantenn; elektron; valgus; telekas; signaal
0,1,1,0,2,1,2,2,1,11,marek; analoogantenn; elektron; valgus; telekas; signaal
0,1,1,0,2,1,2,2,1,11,marek; analoogantenn; elektron; valgus; telekas; signaal
0,1,1,0,2,1,2,2,1,11,marek; analoogantenn; elektron; valgus; telekas; signaal
0,1,1,0,2,1,2,2,1,11,marek; analoogantenn; elektron; valgus; telekas; signaal
0,1,1,0,2,1,2,2,1,11,marek; analoogantenn; elektron; valgus; telekas; signaal
0,1,1,0,2,1,2,2,1,11,marek; analoogantenn; elektron; valgus; telekas; signaal
