EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,3,1,2,0,0,0,1,0,16,tunnustus; piret; tarmo; kriivan; jürgens; tiisler; tähelepanu
1,3,1,2,0,0,0,1,0,16,tunnustus; piret; tarmo; kriivan; jürgens; tiisler; tähelepanu
1,3,1,2,0,0,0,1,0,16,tunnustus; piret; tarmo; kriivan; jürgens; tiisler; tähelepanu
1,3,1,2,0,0,0,1,0,16,tunnustus; piret; tarmo; kriivan; jürgens; tiisler; tähelepanu
1,3,1,2,0,0,0,1,0,16,tunnustus; piret; tarmo; kriivan; jürgens; tiisler; tähelepanu
1,3,1,2,0,0,0,1,0,16,tunnustus; piret; tarmo; kriivan; jürgens; tiisler; tähelepanu
1,3,1,2,0,0,0,1,0,16,tunnustus; piret; tarmo; kriivan; jürgens; tiisler; tähelepanu
1,3,1,2,0,0,0,1,0,16,tunnustus; piret; tarmo; kriivan; jürgens; tiisler; tähelepanu
1,3,1,2,0,0,0,1,0,16,tunnustus; piret; tarmo; kriivan; jürgens; tiisler; tähelepanu
1,3,1,2,0,0,0,1,0,16,tunnustus; piret; tarmo; kriivan; jürgens; tiisler; tähelepanu
1,3,1,2,0,0,0,1,0,16,tunnustus; piret; tarmo; kriivan; jürgens; tiisler; tähelepanu
