EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,2,0,1,2,3,2,0,16,orgaaniline; materjal; aivar; keraamika; kiviaja
0,1,2,0,1,2,3,2,0,16,orgaaniline; materjal; aivar; keraamika; kiviaja
0,1,2,0,1,2,3,2,0,16,orgaaniline; materjal; aivar; keraamika; kiviaja
0,1,2,0,1,2,3,2,0,16,orgaaniline; materjal; aivar; keraamika; kiviaja
0,1,2,0,1,2,3,2,0,16,orgaaniline; materjal; aivar; keraamika; kiviaja
0,1,2,0,1,2,3,2,0,16,orgaaniline; materjal; aivar; keraamika; kiviaja
0,1,2,0,1,2,3,2,0,16,orgaaniline; materjal; aivar; keraamika; kiviaja
0,1,2,0,1,2,3,2,0,16,orgaaniline; materjal; aivar; keraamika; kiviaja
0,1,2,0,1,2,3,2,0,16,orgaaniline; materjal; aivar; keraamika; kiviaja
0,1,2,0,1,2,3,2,0,16,orgaaniline; materjal; aivar; keraamika; kiviaja
0,1,2,0,1,2,3,2,0,16,orgaaniline; materjal; aivar; keraamika; kiviaja
