EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,0,0,0,1,2,1,2,16,ooper; ivo; estonia
0,1,0,0,0,1,2,1,2,16,ooper; ivo; estonia
0,1,0,0,0,1,2,1,2,16,ooper; ivo; estonia
0,1,0,0,0,1,2,1,2,16,ooper; ivo; estonia
0,1,0,0,0,1,2,1,2,16,ooper; ivo; estonia
0,1,0,0,0,1,2,0,2,16,ooper; ivo; estonia
1,0,0,0,0,2,2,0,2,16,ooper; ivo; estonia
1,0,0,0,0,1,1,2,2,16,ooper; ivo; estonia
0,0,0,1,0,1,1,1,2,16,ivo; estonia
0,1,0,1,0,1,2,0,1,16,mai; ivo; ooper; estonia
0,0,0,0,0,1,2,1,1,16,ooper; ivo; wagner; estonia
