EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,2,1,2,0,2,4,1,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,1,2,1,1,0,2,4,1,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,1,2,1,1,0,2,4,1,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,1,2,1,1,0,2,4,1,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,1,2,1,1,0,2,4,1,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,1,2,1,1,0,2,4,1,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,1,2,1,1,1,2,4,1,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,1,2,1,1,1,2,4,1,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,1,2,2,1,1,2,3,1,10,faehlmann; koit; valgusandja; hämarik; vanaisa
3,1,2,3,1,1,2,4,1,10,koit; valgusandja; faehlmann; hämarik; vanaisa
2,1,2,3,0,1,1,3,1,10,faehlmann; koit; valgusandja; hämarik; vanaisa
