EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,2,0,0,1,2,0,0,15,kadri; kriivan; rõõm; naissoo; tõnu; toomas
0,1,2,0,0,1,2,0,0,15,kadri; kriivan; rõõm; naissoo; tõnu; toomas
0,1,2,0,0,1,2,0,0,15,kadri; kriivan; rõõm; naissoo; tõnu; toomas
0,1,2,0,0,1,2,0,0,15,kadri; kriivan; rõõm; naissoo; tõnu; toomas
0,1,2,0,0,1,2,0,0,15,kadri; kriivan; rõõm; naissoo; tõnu; toomas
0,1,2,0,0,1,2,0,0,15,kadri; kriivan; rõõm; naissoo; tõnu; toomas
0,1,2,0,0,1,2,0,0,15,kadri; kriivan; rõõm; naissoo; tõnu; toomas
0,1,2,0,0,1,2,0,0,15,kadri; kriivan; rõõm; naissoo; tõnu; toomas
0,1,2,0,0,1,2,0,0,15,kadri; kriivan; rõõm; naissoo; tõnu; toomas
0,1,2,0,0,1,2,0,0,15,kadri; kriivan; rõõm; naissoo; tõnu; toomas
0,1,2,0,0,1,2,0,0,15,kadri; kriivan; rõõm; naissoo; tõnu; toomas
