EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,2,0,0,2,1,1,1,12,teatritrupp; näitlejad; tšehhoslovakkia
1,1,2,0,0,2,1,1,1,12,teatritrupp; näitlejad; tšehhoslovakkia
1,1,2,0,0,2,1,1,1,12,teatritrupp; näitlejad; tšehhoslovakkia
1,1,2,0,0,2,1,1,1,12,teatritrupp; näitlejad; tšehhoslovakkia
1,1,2,0,0,2,1,1,1,12,teatritrupp; näitlejad; tšehhoslovakkia
1,1,2,0,0,2,1,1,1,12,teatritrupp; näitlejad; tšehhoslovakkia
1,1,2,0,0,2,1,1,1,12,teatritrupp; näitlejad; tšehhoslovakkia
1,1,2,0,0,1,1,2,1,12,teatritrupp; näitlejad; tšehhoslovakkia
1,1,2,0,0,1,0,2,1,12,teatritrupp; näitlejad; tšehhoslovakkia
1,0,2,0,0,1,0,2,1,12,teatritrupp; näitlejad; tšehhoslovakkia
1,0,1,0,0,1,0,2,0,12,teatritrupp; näitlejad; tšehhoslovakkia
