EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,2,0,0,0,1,0,0,16,eesti; olesk; kitzberg
0,0,2,0,0,0,1,0,0,16,eesti; olesk; kitzberg
0,0,2,0,0,0,1,0,0,16,eesti; olesk; kitzberg
0,0,2,0,0,0,1,0,0,16,eesti; olesk; kitzberg
0,0,2,0,0,0,1,0,0,16,eesti; olesk; kitzberg
0,0,2,0,0,0,1,0,0,16,eesti; olesk; kitzberg
0,0,2,0,0,0,1,0,0,16,eesti; olesk; kitzberg
0,0,2,0,0,0,2,0,0,16,eesti; olesk; kitzberg
0,0,2,0,0,1,3,0,0,16,olesk; eesti; kitzberg
0,0,2,1,0,1,2,0,0,16,olesk; eesti; kitzberg
0,0,2,0,0,0,3,0,0,16,olesk; eesti; kitzberg
