EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,2,1,0,2,1,1,0,11,kümnevõistleja; muusika; andres; klassikaraadio; ooperidiiva
1,2,2,1,0,2,1,1,0,11,kümnevõistleja; muusika; andres; klassikaraadio; ooperidiiva
1,2,2,1,0,2,1,1,0,11,kümnevõistleja; muusika; andres; klassikaraadio; ooperidiiva
1,2,2,1,0,2,1,1,0,11,kümnevõistleja; muusika; andres; klassikaraadio; ooperidiiva
1,2,2,1,0,2,1,1,0,11,kümnevõistleja; muusika; andres; klassikaraadio; ooperidiiva
1,2,2,1,0,2,1,1,0,11,kümnevõistleja; muusika; andres; klassikaraadio; ooperidiiva
1,2,2,1,0,2,1,1,0,11,kümnevõistleja; muusika; andres; klassikaraadio; ooperidiiva
1,2,2,1,0,2,1,1,0,11,kümnevõistleja; muusika; andres; klassikaraadio; ooperidiiva
1,2,2,1,0,2,1,1,0,11,kümnevõistleja; muusika; andres; klassikaraadio; ooperidiiva
1,2,2,1,0,2,1,1,0,11,kümnevõistleja; muusika; andres; klassikaraadio; ooperidiiva
1,2,2,1,0,2,1,1,0,11,kümnevõistleja; muusika; andres; klassikaraadio; ooperidiiva
