EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,8,6,4,5,7,8,0,14,soolariiul; martin; ilmar; tomusk; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
6,7,9,6,4,6,7,8,0,14,soolariiul; martin; ilmar; tomusk; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
6,6,9,6,5,6,7,8,0,14,soolariiul; martin; ilmar; tomusk; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
6,6,8,5,5,6,7,8,0,14,soolariiul; martin; ilmar; tomusk; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
6,7,8,5,6,5,7,8,0,14,soolariiul; martin; ilmar; tomusk; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
6,7,8,5,6,7,7,8,0,14,soolariiul; martin; ilmar; tomusk; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
7,6,9,7,6,7,9,9,0,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
7,5,8,5,7,6,9,9,0,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
8,5,9,6,7,6,9,7,0,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
8,6,8,6,6,7,9,7,0,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
7,6,9,7,5,7,9,8,0,14,martin; ilmar; uus; maja; isikud; soolariiul; tomusk; tuba; kõrvalised; suhkrusaiapidu
