EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,6,3,4,2,2,5,3,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
6,4,6,3,4,2,2,4,3,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
5,4,6,3,4,2,2,4,3,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
4,4,6,3,4,2,2,4,3,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
4,4,5,3,3,2,1,4,4,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
3,5,6,3,3,1,3,5,4,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
4,5,4,3,4,4,3,5,4,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
3,4,2,4,4,3,4,6,4,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
4,4,4,4,5,2,3,6,3,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
4,4,5,5,6,1,3,5,3,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
2,4,4,5,6,2,4,6,4,12,nato; väin; kaitseliit; muhu; tehnika; sõda; lahing
