EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,0,0,2,1,3,3,3,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
2,0,0,2,1,3,3,3,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
2,0,0,1,1,4,3,3,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
2,0,1,1,1,4,3,3,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
2,0,1,1,1,4,4,3,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
2,0,1,1,1,2,2,3,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
1,0,3,2,1,0,2,2,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
0,1,2,1,1,0,2,3,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
0,1,2,1,1,0,2,2,1,12,regivärss; indoeuroopa; keel; sõna; rahvakeel
0,1,3,2,1,0,2,3,1,12,indoeuroopa; regivärss; keel; sõna; rahvakeel
1,2,2,1,1,0,2,2,1,12,indoeuroopa; regivärss; keel; sõna; rahvakeel
