EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,1,3,2,0,2,2,0,13,kasumi; reguleerimata; masside; maksimeerimine
4,2,1,3,2,0,2,2,0,13,kasumi; reguleerimata; masside; maksimeerimine
4,2,1,3,3,0,2,2,0,13,kasumi; reguleerimata; masside; maksimeerimine
3,2,1,3,2,0,2,2,0,13,kasumi; reguleerimata; masside; maksimeerimine
3,2,4,3,2,2,1,2,0,13,kasumi; reguleerimata; masside; maksimeerimine
3,3,4,4,4,2,2,2,0,13,kasumi; reguleerimata; masside; maksimeerimine
3,2,3,3,4,3,1,2,0,13,kasumi; reguleerimata; masside; maksimeerimine
3,3,4,3,4,3,2,2,0,13,kasumi; reguleerimata; masside; maksimeerimine
4,3,3,3,4,3,3,1,0,13,kasumi; reguleerimata; masside; maksimeerimine
3,3,3,3,4,4,4,1,0,13,kasumi; reguleerimata; masside; maksimeerimine
2,3,3,2,4,4,3,2,0,13,kasumi; reguleerimata; masside; maksimeerimine
