EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,7,4,7,5,6,6,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,8,7,4,7,6,6,6,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,8,7,4,7,6,6,6,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,8,8,4,7,6,7,6,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,8,8,4,7,8,8,6,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,7,8,5,7,8,7,6,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
8,7,8,5,6,7,7,6,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
7,7,8,7,6,7,7,6,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
7,7,7,7,6,7,7,7,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
7,6,7,7,7,7,7,8,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
7,6,7,7,7,7,7,7,0,13,senjoriita; kanada; aasta; popiidol; üksinda; trump; kodus; jäähoki
