EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,7,4,2,5,4,5,6,13,lugema; hiiu; käär; heinsoo; merike; lili; lasteraamat
5,6,7,4,1,5,4,5,6,13,lugema; hiiu; käär; heinsoo; merike; lili; lasteraamat
4,5,7,4,2,6,4,5,6,13,lugema; hiiu; käär; heinsoo; merike; lili; lasteraamat
4,5,7,4,2,5,5,6,6,13,lugema; hiiu; käär; heinsoo; merike; lili; lasteraamat
3,5,6,4,2,5,5,7,6,13,lugema; hiiu; käär; heinsoo; merike; lili; lasteraamat
3,5,6,4,4,5,6,7,6,13,lugema; hiiu; käär; heinsoo; merike; lili; lasteraamat
4,4,6,2,4,5,6,7,6,13,lugema; hiiu; käär; heinsoo; merike; lili; lasteraamat
4,5,6,4,5,6,6,7,6,13,lugema; hiiu; käär; heinsoo; merike; lili; lasteraamat
3,5,6,5,6,5,5,7,5,13,lugema; hiiu; heinsoo; käär; merike; lili; lasteraamat
3,5,6,4,6,6,5,7,4,13,lugema; hiiu; heinsoo; käär; merike; lili; lasteraamat
3,5,6,4,6,6,5,7,2,13,lugema; hiiu; heinsoo; käär; merike; lili; lasteraamat
