EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,3,4,4,4,3,0,10,aamen; inimlaps; palve; jumal
4,4,4,3,4,4,4,3,0,10,aamen; inimlaps; palve; jumal
4,4,4,3,4,4,4,3,0,10,aamen; inimlaps; palve; jumal
4,4,4,3,4,4,4,3,0,10,aamen; inimlaps; palve; jumal
4,3,4,3,3,4,4,3,0,10,palve; aamen; jumal; inimlaps
4,3,4,3,3,4,4,3,0,10,palve; aamen; jumal; inimlaps
4,3,4,3,3,4,4,3,0,10,palve; aamen; jumal; inimlaps
4,3,4,3,3,4,4,3,0,10,palve; aamen; jumal; inimlaps
4,3,4,4,3,4,4,4,0,10,palve; aamen; jumal; inimlaps
4,3,4,4,4,4,4,4,0,10,palve; aamen; jumal; inimlaps
4,3,4,4,4,4,4,4,0,10,palve; aamen; jumal; inimlaps
