EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,7,4,2,3,6,2,0,12,infoajastu; tavakodanik; andmesubjekt; euroopa; regulatsioon; andmete; kuhjumine
6,3,6,4,2,3,6,2,0,12,infoajastu; tavakodanik; andmesubjekt; euroopa; regulatsioon; andmete; kuhjumine
6,3,6,3,3,3,6,2,0,12,infoajastu; tavakodanik; andmesubjekt; euroopa; regulatsioon; andmete; kuhjumine
6,3,6,3,3,3,6,2,0,12,infoajastu; tavakodanik; andmesubjekt; euroopa; regulatsioon; andmete; kuhjumine
6,3,6,4,3,3,6,2,0,12,infoajastu; tavakodanik; andmesubjekt; euroopa; regulatsioon; andmete; kuhjumine
6,4,5,4,4,4,6,2,0,12,infoajastu; tavakodanik; andmesubjekt; euroopa; regulatsioon; andmete; kuhjumine
5,6,4,5,5,3,5,3,0,12,infoajastu; regulatsioon; tavakodanik; euroopa; andmesubjekt; andmete; kuhjumine
3,4,4,6,5,3,5,3,0,12,infoajastu; regulatsioon; andmete; tavakodanik; euroopa; andmesubjekt; kuhjumine
3,2,3,4,5,4,4,4,0,12,infoajastu; regulatsioon; andmete; tavakodanik; euroopa; andmesubjekt; kuhjumine
2,2,4,4,4,4,4,2,0,12,infoajastu; andmete; tavakodanik; andmesubjekt; euroopa; regulatsioon; kuhjumine
3,3,4,4,3,5,4,4,0,12,infoajastu; andmete; tavakodanik; andmesubjekt; euroopa; regulatsioon; kuhjumine
