EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,4,1,4,3,2,5,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
5,4,4,1,4,3,2,5,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
5,4,3,1,4,3,2,5,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
5,4,3,1,4,3,2,5,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
5,4,2,1,4,3,2,5,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
4,4,2,1,3,4,2,5,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
4,4,3,2,3,5,4,5,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
4,4,3,4,3,4,3,5,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
2,4,2,4,3,3,4,3,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
2,2,4,4,4,3,3,3,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
2,2,3,4,3,2,3,1,0,12,stress; maagia; uskumus; lemm; ehmatamine; meditsiin
