EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
14,14,14,14,14,14,14,14,14,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
14,14,14,14,14,14,14,14,14,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
14,14,14,14,14,14,14,14,14,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
14,14,14,14,14,14,14,14,14,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
14,14,14,14,14,14,14,14,14,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
14,14,14,14,14,14,14,14,14,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
14,14,14,14,14,14,14,14,14,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
14,14,14,14,14,14,14,14,14,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
14,14,14,14,14,14,14,14,14,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
14,14,14,14,14,14,14,14,14,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
14,14,14,14,14,14,14,14,14,16,tarmo; vahur; peeter; lasmann; tõnu; tähelepanu; piret; jürgens; kriivan; tiisler; toomas; naissoo; kersna; tunnustus
