EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,4,4,4,4,4,0,12,akadeemia; peaminister; saal; tulemus
4,4,4,4,4,4,4,4,0,12,akadeemia; peaminister; saal; tulemus
4,4,4,4,4,4,4,4,0,12,akadeemia; peaminister; saal; tulemus
4,4,4,4,4,3,4,4,0,12,akadeemia; peaminister; saal; tulemus
4,4,4,4,4,3,4,4,0,12,akadeemia; peaminister; saal; tulemus
4,4,4,4,4,4,4,4,0,12,akadeemia; peaminister; saal; tulemus
4,4,3,4,4,4,4,4,0,12,akadeemia; peaminister; saal; tulemus
4,4,3,4,4,4,4,4,0,12,akadeemia; peaminister; saal; tulemus
4,4,4,4,4,4,4,4,0,12,akadeemia; peaminister; saal; tulemus
4,4,4,4,4,4,4,4,0,12,akadeemia; peaminister; saal; tulemus
4,4,4,4,4,4,4,4,0,12,akadeemia; peaminister; saal; tulemus
