EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,11,8,7,8,8,10,6,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
10,11,11,8,8,8,9,10,6,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
10,11,11,8,8,8,9,10,6,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,11,8,7,9,9,10,6,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,11,8,7,10,10,11,8,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,11,8,9,10,10,10,7,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,11,8,9,10,9,11,7,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,9,9,8,9,9,9,7,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,11,10,10,7,10,8,11,7,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,10,9,9,6,10,8,11,10,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
11,10,9,8,7,10,8,10,9,14,kristjan; port; katsepolügoon; cbs; meediatarbimise; reklaamitulu; uudised; dvd-plaadil; tehnoloogia; internet; kommentaar
