EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,8,7,4,3,6,4,0,11,seljakott; plaat; madis; aeg; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma
9,5,6,7,4,3,5,4,0,11,seljakott; plaat; madis; aeg; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma
9,5,5,7,4,2,5,4,0,11,seljakott; plaat; madis; aeg; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma
9,4,5,7,4,3,6,4,0,11,seljakott; plaat; madis; aeg; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma
8,4,4,7,5,5,6,6,0,11,seljakott; plaat; aeg; madis; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma
9,4,4,7,5,7,7,6,0,11,seljakott; plaat; madis; aeg; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma
8,4,3,6,6,6,8,6,0,11,seljakott; plaat; aeg; madis; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma
7,4,3,6,6,6,8,6,0,11,seljakott; plaat; aeg; madis; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma
7,4,4,4,6,6,7,5,0,11,seljakott; plaat; aeg; madis; raadiomaja; tuletõrje; korrus; sportlane; jooksma; aesma
8,5,6,5,6,6,9,7,0,11,seljakott; aeg; madis; raadiomaja; tuletõrje; sportlane; jooksma; plaat; korrus; aesma
6,4,6,5,6,7,9,6,0,11,seljakott; aeg; madis; raadiomaja; tuletõrje; sportlane; jooksma; plaat; korrus; aesma
