EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,8,7,3,5,7,7,3,11,polka; lõuna-eesti; maailmasõjajärgne; meloodia; meelelahutus; lõõtspill; tants; pillimäng
7,2,7,7,3,5,7,7,3,11,polka; lõuna-eesti; maailmasõjajärgne; meloodia; meelelahutus; lõõtspill; tants; pillimäng
7,2,6,7,3,5,7,7,3,11,polka; lõuna-eesti; maailmasõjajärgne; meloodia; meelelahutus; lõõtspill; tants; pillimäng
7,2,3,7,3,5,6,6,3,11,polka; lõuna-eesti; maailmasõjajärgne; meloodia; meelelahutus; lõõtspill; tants; pillimäng
7,2,3,7,3,6,7,6,3,11,polka; lõuna-eesti; maailmasõjajärgne; meloodia; meelelahutus; lõõtspill; tants; pillimäng
7,3,3,6,3,7,7,6,3,11,polka; lõuna-eesti; maailmasõjajärgne; meloodia; meelelahutus; lõõtspill; tants; pillimäng
7,6,4,7,5,7,7,6,4,11,polka; lõuna-eesti; maailmasõjajärgne; meloodia; meelelahutus; lõõtspill; tants; pillimäng
7,4,4,5,5,7,7,6,5,11,polka; lõuna-eesti; maailmasõjajärgne; meloodia; meelelahutus; lõõtspill; tants; pillimäng
7,5,5,5,6,6,7,6,4,11,polka; lõuna-eesti; maailmasõjajärgne; meloodia; meelelahutus; lõõtspill; tants; pillimäng
7,6,5,4,5,6,6,6,4,11,polka; lõuna-eesti; maailmasõjajärgne; meloodia; meelelahutus; lõõtspill; tants; pillimäng
7,6,6,5,3,6,6,6,6,11,polka; lõuna-eesti; maailmasõjajärgne; meloodia; meelelahutus; lõõtspill; tants; pillimäng
