EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,4,3,5,1,5,3,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,5,4,3,5,2,5,3,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,5,4,3,5,2,5,3,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,5,5,2,5,2,5,3,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,5,4,2,5,3,5,3,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,5,5,2,5,2,5,3,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,5,4,5,5,2,3,3,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,4,4,5,5,2,4,3,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,4,4,5,5,2,4,3,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,4,3,5,5,2,3,4,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
3,4,3,5,5,2,1,4,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
