EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,5,1,1,4,6,3,1,11,raamat; kirjanik; võõras; sotsiaalmeedia; furby; olme; lavastus; urmas; vadi
4,5,4,1,1,4,6,3,1,11,raamat; kirjanik; võõras; sotsiaalmeedia; furby; olme; lavastus; urmas; vadi
4,5,5,1,2,4,6,4,1,11,raamat; kirjanik; võõras; sotsiaalmeedia; furby; olme; lavastus; urmas; vadi
3,5,4,1,2,3,4,4,1,11,raamat; kirjanik; sotsiaalmeedia; furby; võõras; olme; lavastus; urmas; vadi
3,5,4,1,2,3,4,4,1,11,raamat; kirjanik; sotsiaalmeedia; furby; võõras; olme; lavastus; urmas; vadi
5,5,4,2,2,3,5,4,1,11,raamat; kirjanik; sotsiaalmeedia; furby; võõras; olme; lavastus; urmas; vadi
2,4,3,3,2,3,4,4,1,11,raamat; kirjanik; sotsiaalmeedia; furby; võõras; olme; lavastus; urmas; vadi
2,4,4,4,3,4,2,3,1,11,raamat; kirjanik; sotsiaalmeedia; furby; võõras; olme; lavastus; urmas; vadi
3,4,3,5,4,4,2,6,3,11,raamat; kirjanik; sotsiaalmeedia; furby; võõras; olme; lavastus; urmas; vadi
2,2,4,5,5,5,2,5,0,11,raamat; kirjanik; sotsiaalmeedia; furby; võõras; olme; lavastus; urmas; vadi
1,3,4,5,3,5,4,5,0,11,raamat; kirjanik; furby; sotsiaalmeedia; võõras; olme; lavastus; urmas; vadi
