EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,4,3,4,4,2,5,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
3,5,5,3,4,3,2,5,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
3,5,5,3,4,4,3,5,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
3,5,5,3,4,4,5,5,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
3,5,5,3,4,5,5,5,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
3,5,5,3,5,5,4,5,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
3,5,4,4,4,5,4,5,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
3,5,4,5,4,5,4,5,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
3,5,5,4,4,5,5,5,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
3,5,4,4,5,6,5,5,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
3,5,3,4,5,6,5,4,0,13,johan; isa; torm; ütlemata; ema; kon-tiki
