EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,4,2,0,0,1,1,1,1,13,leho; kont; suvi; boriss; kamp; sõjalennuk
1,4,2,0,0,1,1,1,1,13,leho; kont; suvi; boriss; kamp; sõjalennuk
1,3,3,0,0,1,1,1,1,13,leho; kont; suvi; boriss; kamp; sõjalennuk
2,2,3,0,1,1,1,1,1,13,leho; suvi; kont; boriss; kamp; sõjalennuk
2,2,3,0,1,1,3,1,1,13,suvi; kamp; sõjalennuk; leho; kont; boriss
2,2,2,0,1,2,3,1,1,13,suvi; kamp; sõjalennuk; leho; kont; boriss
1,2,2,2,3,3,2,1,0,13,leho; suvi; kont; boriss; kamp; sõjalennuk
0,1,3,2,2,3,2,1,0,13,leho; kont; suvi; boriss; kamp; sõjalennuk
1,1,3,2,2,3,1,0,0,13,leho; suvi; kont; boriss; kamp; sõjalennuk
0,1,2,2,3,3,1,3,0,13,leho; kont; suvi; boriss; kamp; sõjalennuk
1,0,2,2,2,3,1,1,1,13,leho; kont; suvi; boriss; kamp; sõjalennuk
