EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,2,1,2,3,3,4,6,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
5,3,2,1,2,2,3,4,6,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
5,4,3,1,2,2,4,4,6,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
5,2,2,1,2,4,3,3,6,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
5,3,3,2,3,3,4,4,6,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
4,5,4,1,3,4,3,5,7,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
5,4,5,1,2,5,2,3,7,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
5,2,3,3,4,5,2,2,7,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
6,4,4,4,4,5,2,2,7,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
4,3,4,3,4,5,4,3,4,11,juured; rahvatants; jüri; tallinn; kirjandus; tartu; arrak
3,4,3,3,4,5,4,4,4,11,juured; rahvatants; jüri; kirjandus; tallinn; tartu; arrak
