EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,2,0,0,3,3,2,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja; ämber
0,2,2,0,0,3,3,2,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja; ämber
0,2,2,0,0,3,3,2,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja; ämber
0,2,2,0,0,3,3,2,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja; ämber
0,2,2,0,0,3,3,2,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja; ämber
0,2,2,0,0,3,3,2,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja; ämber
0,2,2,0,0,3,3,2,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja; ämber
0,2,2,0,0,3,3,2,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja; ämber
0,2,2,0,0,3,3,2,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja; ämber
0,2,2,0,0,3,3,2,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja; ämber
0,2,2,0,0,3,3,2,0,13,vangla; nurk; raamat; martin; sidepidamine; salaja; ämber
