EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,5,1,0,0,1,1,0,15,lasmann; peeter; piret; kriivan; rõõm; jürgens
1,2,5,1,0,0,1,1,0,15,lasmann; peeter; piret; kriivan; rõõm; jürgens
1,2,5,1,0,0,1,2,0,15,lasmann; peeter; piret; kriivan; rõõm; jürgens
1,2,5,1,0,0,1,2,0,15,lasmann; peeter; piret; kriivan; rõõm; jürgens
1,2,5,1,0,0,1,2,0,15,lasmann; peeter; piret; kriivan; rõõm; jürgens
1,2,5,1,0,0,1,2,0,15,lasmann; peeter; piret; kriivan; rõõm; jürgens
1,2,5,1,0,0,1,2,0,15,lasmann; peeter; piret; kriivan; rõõm; jürgens
1,2,5,1,0,0,1,1,0,15,lasmann; peeter; piret; kriivan; rõõm; jürgens
1,2,5,1,0,0,1,2,0,15,lasmann; peeter; piret; kriivan; rõõm; jürgens
1,2,5,1,0,0,1,2,0,15,lasmann; peeter; piret; kriivan; rõõm; jürgens
1,2,5,1,0,0,1,2,0,15,lasmann; peeter; piret; kriivan; rõõm; jürgens
