EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,1,0,1,2,2,2,2,10,määrus; eesmärk; lausemall; öeldistäide; koer
1,0,1,0,1,2,2,2,2,10,määrus; eesmärk; lausemall; öeldistäide; koer
1,0,1,0,1,2,2,2,2,10,määrus; eesmärk; lausemall; öeldistäide; koer
1,0,1,0,1,2,2,2,2,10,määrus; eesmärk; lausemall; öeldistäide; koer
1,0,1,0,1,2,2,2,2,10,määrus; eesmärk; lausemall; öeldistäide; koer
1,0,1,0,1,2,2,2,2,10,määrus; eesmärk; lausemall; öeldistäide; koer
1,0,1,0,1,2,2,2,2,10,määrus; eesmärk; lausemall; öeldistäide; koer
1,0,1,0,1,2,2,2,2,10,määrus; eesmärk; lausemall; öeldistäide; koer
1,0,1,0,1,2,2,2,2,10,määrus; eesmärk; lausemall; öeldistäide; koer
1,0,1,0,1,2,2,2,2,10,määrus; eesmärk; lausemall; öeldistäide; koer
1,0,1,0,1,2,2,2,2,10,määrus; eesmärk; lausemall; öeldistäide; koer
