EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,4,0,2,1,2,3,0,15,eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
1,1,4,0,2,1,2,3,0,15,eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
1,1,4,0,2,1,2,3,0,15,eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
1,1,4,0,2,1,2,3,0,15,eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
1,1,4,0,2,1,2,3,0,15,eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
1,1,4,0,2,1,2,3,0,15,eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
1,1,4,0,2,1,2,3,0,15,eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
1,1,4,0,2,1,2,3,0,15,eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
1,1,4,0,2,1,2,3,0,15,eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
1,1,4,0,2,1,2,3,0,15,eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
1,1,4,0,2,1,2,3,0,15,eesti; kannatlikkus; jüri; johannese; jumala; ori; sõna
