EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,2,1,0,1,2,0,0,10,muusika; tõnis; hommikuinimene
2,3,2,1,0,1,2,0,0,10,muusika; tõnis; hommikuinimene
2,3,2,1,0,1,2,0,0,10,muusika; tõnis; hommikuinimene
2,3,2,1,0,1,2,0,0,10,muusika; tõnis; hommikuinimene
2,3,2,1,0,1,2,0,0,10,muusika; tõnis; hommikuinimene
2,3,2,1,0,1,2,0,0,10,muusika; tõnis; hommikuinimene
2,3,2,1,0,1,2,0,0,10,muusika; tõnis; hommikuinimene
2,3,2,1,0,1,2,0,0,10,muusika; tõnis; hommikuinimene
2,3,2,1,0,1,2,0,0,10,muusika; tõnis; hommikuinimene
2,3,2,1,0,1,2,0,0,10,muusika; tõnis; hommikuinimene
2,3,2,1,0,1,2,0,0,10,muusika; tõnis; hommikuinimene
