EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,0,1,1,0,2,2,2,3,10,mäng; trump; laul; saatus
3,0,1,1,0,2,2,2,3,10,mäng; trump; laul; saatus
3,0,1,1,0,2,2,2,3,10,mäng; trump; laul; saatus
3,0,1,1,0,2,2,2,3,10,mäng; trump; laul; saatus
3,0,1,1,0,2,2,2,3,10,mäng; trump; laul; saatus
3,0,1,1,0,2,2,2,3,10,mäng; trump; laul; saatus
3,0,1,1,0,2,2,2,3,10,mäng; trump; laul; saatus
3,0,1,1,0,2,2,2,3,10,mäng; trump; laul; saatus
3,0,1,1,0,2,2,2,3,10,mäng; trump; laul; saatus
3,0,1,1,0,2,2,2,3,10,mäng; trump; laul; saatus
3,0,1,1,0,2,2,2,3,10,mäng; trump; laul; saatus
