EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,1,3,4,3,2,3,6,13,poola; jüri; andrus; adams; graafika; ansip; president
4,3,2,3,5,4,2,4,6,13,poola; jüri; andrus; adams; graafika; ansip; president
4,3,3,2,5,3,2,4,7,13,poola; jüri; andrus; adams; graafika; ansip; president
4,3,2,2,6,3,2,4,7,13,poola; jüri; andrus; adams; graafika; ansip; president
3,3,4,2,6,4,4,5,7,13,poola; jüri; andrus; adams; graafika; ansip; president
3,2,3,1,6,4,4,4,7,13,poola; jüri; andrus; adams; graafika; ansip; president
2,3,4,7,6,6,4,5,6,13,poola; jüri; andrus; adams; graafika; ansip; president
3,3,5,6,7,6,6,6,5,13,poola; jüri; andrus; adams; graafika; ansip; president
3,3,5,6,7,6,6,6,6,13,poola; jüri; andrus; adams; graafika; ansip; president
3,2,4,6,6,6,5,6,4,13,poola; jüri; andrus; adams; graafika; ansip; president
2,3,5,6,6,6,7,5,5,13,poola; jüri; andrus; adams; graafika; ansip; president
