EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,11,8,10,11,9,11,10,10,15,lauk; vene; inimlik; urmas; autor; tõlge; jevgeni; reaalsusest; vikerraadio; kompleks; ülar; vadi
12,11,8,10,11,9,11,10,10,15,lauk; vene; inimlik; urmas; autor; tõlge; jevgeni; reaalsusest; vikerraadio; kompleks; ülar; vadi
12,11,9,10,11,9,10,11,10,15,lauk; vene; inimlik; urmas; autor; tõlge; jevgeni; reaalsusest; vikerraadio; kompleks; ülar; vadi
12,10,9,10,11,9,10,11,10,15,lauk; vene; inimlik; urmas; autor; tõlge; jevgeni; reaalsusest; vikerraadio; kompleks; ülar; vadi
12,10,9,10,11,10,9,11,10,15,lauk; vene; inimlik; urmas; autor; tõlge; jevgeni; reaalsusest; vikerraadio; kompleks; ülar; vadi
11,11,9,10,12,9,8,11,10,15,lauk; vene; inimlik; urmas; autor; tõlge; jevgeni; reaalsusest; vikerraadio; kompleks; ülar; vadi
10,11,11,10,12,9,9,11,11,15,lauk; vene; inimlik; urmas; autor; tõlge; jevgeni; reaalsusest; vikerraadio; kompleks; ülar; vadi
8,11,12,12,12,10,12,11,11,15,lauk; vene; inimlik; urmas; autor; tõlge; jevgeni; reaalsusest; vikerraadio; kompleks; ülar; vadi
9,11,12,11,12,11,12,12,12,15,lauk; vene; inimlik; urmas; autor; tõlge; jevgeni; reaalsusest; vikerraadio; kompleks; ülar; vadi
8,11,12,11,12,11,12,12,11,15,lauk; vene; inimlik; urmas; autor; tõlge; jevgeni; reaalsusest; vikerraadio; kompleks; ülar; vadi
8,11,12,11,12,11,12,12,11,15,lauk; vene; inimlik; urmas; autor; tõlge; jevgeni; reaalsusest; vikerraadio; kompleks; ülar; vadi
