EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,3,4,5,6,6,6,7,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
7,6,5,4,6,7,6,6,7,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
7,4,5,4,6,7,6,6,7,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
7,4,7,4,6,7,7,6,7,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
7,4,7,4,6,7,7,6,7,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
7,4,7,4,6,7,7,6,7,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
7,5,7,4,6,7,7,6,7,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
7,5,7,6,6,7,7,7,7,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
4,3,7,7,7,7,6,7,7,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
4,4,7,7,7,7,7,6,7,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
4,5,6,7,7,7,6,7,7,13,merike; käär; heinsoo; hiiu; lasteraamat; sõna; lili
