EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,5,3,3,4,5,4,3,10,ladina-ameerika; gloria; muusika; kuuba; räpp; superstaar
4,4,5,3,3,4,5,4,3,10,ladina-ameerika; gloria; muusika; kuuba; räpp; superstaar
4,4,5,3,5,5,5,5,3,10,ladina-ameerika; gloria; tütar; muusika; kuuba; räpp; superstaar; konga
5,4,5,3,6,6,5,6,3,10,ladina-ameerika; gloria; tütar; muusika; kuuba; räpp; superstaar; konga
5,5,5,3,6,6,5,6,3,10,ladina-ameerika; gloria; tütar; muusika; kuuba; räpp; superstaar; konga
4,5,4,3,6,5,6,6,3,10,ladina-ameerika; gloria; tütar; muusika; kuuba; räpp; superstaar; konga
4,5,6,4,5,6,5,6,3,10,ladina-ameerika; gloria; tütar; muusika; kuuba; räpp; superstaar; konga
3,3,3,4,5,6,4,5,2,10,ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; superstaar; konga
5,6,3,5,3,5,4,5,2,10,ladina-ameerika; gloria; tütar; muusika; kuuba; räpp; superstaar; konga
4,6,2,5,4,6,5,4,4,10,ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; superstaar; konga
5,5,2,5,4,5,4,4,5,10,ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; superstaar; konga
