EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,5,4,3,3,4,3,12,portaal; nobeli; port; armutu; kristjan
5,4,4,5,4,3,4,5,3,12,portaal; nobeli; port; armutu; kristjan
5,4,4,5,4,3,4,5,3,12,portaal; nobeli; port; armutu; kristjan
5,4,4,5,4,3,4,5,3,12,portaal; nobeli; port; armutu; kristjan
5,4,5,5,5,4,4,5,3,12,portaal; nobeli; port; armutu; kristjan
5,4,4,5,5,4,4,4,3,12,portaal; nobeli; port; armutu; kristjan
4,4,5,5,5,4,5,4,3,12,portaal; nobeli; port; armutu; kristjan
4,4,5,5,5,4,5,4,4,12,portaal; nobeli; port; armutu; kristjan
4,4,5,5,4,4,5,5,4,12,portaal; nobeli; port; armutu; kristjan
4,4,5,4,5,5,4,5,5,12,portaal; nobeli; port; armutu; kristjan
4,4,5,5,5,5,4,5,5,12,portaal; nobeli; port; armutu; kristjan
