EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,3,6,6,5,4,3,6,16,mets; arm; agu; vaike; rajaste; tantsupidu; maa; mait; hing
7,7,3,6,7,5,4,3,6,16,mets; arm; agu; vaike; rajaste; tantsupidu; maa; mait; hing
7,7,3,7,8,5,4,6,6,16,mets; arm; agu; vaike; rajaste; tantsupidu; maa; mait; hing
6,7,4,7,8,6,4,6,6,16,mets; arm; agu; vaike; rajaste; tantsupidu; maa; mait; hing
6,6,6,8,8,6,3,7,6,16,mets; arm; agu; vaike; rajaste; tantsupidu; maa; mait; hing
6,6,7,7,8,5,4,4,6,16,mets; arm; vaike; rajaste; agu; tantsupidu; maa; mait; hing
6,6,8,7,8,6,5,5,6,16,mets; arm; vaike; rajaste; agu; tantsupidu; maa; mait; hing
8,6,9,8,7,7,6,7,7,16,mets; arm; agu; vaike; rajaste; tantsupidu; maa; mait; hing
8,6,9,7,7,7,8,8,7,16,mets; arm; agu; vaike; rajaste; tantsupidu; maa; mait; hing
7,8,8,8,7,7,6,7,9,16,mets; arm; vaike; rajaste; agu; tantsupidu; maa; mait; hing
7,8,9,6,8,8,6,7,9,16,mets; arm; vaike; rajaste; agu; tantsupidu; maa; mait; hing
