EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,4,3,3,3,4,5,3,10,ema; raamat; koguja; raamatukogu; inimene; käekiri; isa; kirjutama
5,7,5,3,3,3,4,5,4,10,ema; raamat; koguja; raamatukogu; inimene; käekiri; isa; kirjutama
5,5,4,3,3,2,4,5,4,10,ema; raamat; koguja; raamatukogu; inimene; käekiri; isa; kirjutama
5,4,5,3,3,4,4,6,3,10,ema; raamat; koguja; raamatukogu; inimene; käekiri; isa; kirjutama
4,4,5,5,3,4,5,6,2,10,ema; raamat; koguja; raamatukogu; inimene; käekiri; isa; kirjutama
3,5,5,3,4,5,5,6,3,10,ema; raamat; koguja; raamatukogu; inimene; käekiri; isa; kirjutama
3,5,5,4,4,5,4,6,4,10,ema; raamat; koguja; raamatukogu; inimene; käekiri; isa; kirjutama
3,4,5,5,3,6,6,5,4,10,ema; raamat; koguja; raamatukogu; inimene; käekiri; isa; kirjutama
4,4,3,4,4,5,6,3,4,10,ema; raamat; koguja; raamatukogu; inimene; käekiri; isa; kirjutama
4,5,3,5,5,4,6,4,4,10,ema; raamat; koguja; raamatukogu; inimene; käekiri; isa; kirjutama
4,5,3,5,4,5,5,3,4,10,ema; raamat; koguja; raamatukogu; inimene; käekiri; isa; kirjutama
