EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,5,6,4,6,3,5,5,16,needmine; folkloorifestival; ellerhein; tõnu; raua; tormis; ratassepp; veljo; ungari; õhtud; kammerkoor; ingerimaa; kaljuste; arvo
8,5,5,6,4,6,3,5,5,16,needmine; folkloorifestival; ellerhein; tõnu; raua; tormis; ratassepp; veljo; ungari; õhtud; kammerkoor; ingerimaa; kaljuste; arvo
8,6,5,6,5,5,3,5,5,16,needmine; folkloorifestival; ellerhein; tõnu; raua; tormis; ratassepp; veljo; ungari; õhtud; kammerkoor; ingerimaa; kaljuste; arvo
8,6,6,6,6,5,4,7,5,16,needmine; folkloorifestival; ellerhein; tõnu; raua; tormis; ratassepp; veljo; ungari; õhtud; kammerkoor; ingerimaa; kaljuste; arvo
8,8,5,7,6,6,5,8,5,16,needmine; folkloorifestival; ellerhein; tõnu; raua; tormis; ratassepp; veljo; ungari; õhtud; kammerkoor; ingerimaa; kaljuste; arvo
9,7,6,7,7,7,7,8,6,16,needmine; folkloorifestival; ellerhein; tõnu; raua; tormis; ratassepp; veljo; ungari; õhtud; kammerkoor; ingerimaa; kaljuste; arvo
8,6,10,5,7,5,7,12,9,16,needmine; folkloorifestival; ellerhein; tõnu; raua; tormis; ratassepp; veljo; ungari; õhtud; kammerkoor; ingerimaa; kaljuste; arvo
5,6,7,5,5,5,7,13,9,16,needmine; folkloorifestival; ellerhein; tõnu; raua; tormis; ratassepp; veljo; ungari; õhtud; kammerkoor; ingerimaa; kaljuste; arvo
8,5,9,4,6,7,8,11,12,16,needmine; folkloorifestival; ellerhein; tõnu; raua; tormis; ratassepp; veljo; ungari; õhtud; kammerkoor; ingerimaa; kaljuste; arvo
8,5,11,5,5,7,6,11,11,16,needmine; folkloorifestival; ellerhein; tõnu; raua; tormis; ratassepp; veljo; ungari; õhtud; kammerkoor; ingerimaa; kaljuste; arvo
7,6,6,5,5,6,5,9,11,16,needmine; folkloorifestival; ellerhein; tõnu; raua; tormis; ratassepp; veljo; ungari; õhtud; kammerkoor; ingerimaa; kaljuste; arvo
