EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,8,9,8,6,8,8,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
9,9,9,8,9,8,6,8,8,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
9,9,9,8,9,8,6,8,8,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
9,9,9,8,9,8,6,8,8,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
8,9,9,8,9,7,8,8,8,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
8,9,9,8,9,7,8,8,8,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
8,8,9,8,8,8,8,6,8,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
8,8,7,8,8,9,9,8,9,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
6,8,7,9,7,8,9,8,9,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
6,8,8,7,8,8,8,9,9,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
4,8,8,7,9,7,8,7,8,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
