EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,4,3,2,6,4,7,6,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
6,4,5,3,3,6,4,7,6,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
8,5,6,4,3,7,4,6,6,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
8,5,5,4,3,7,4,7,6,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
8,4,4,4,3,7,4,5,6,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
7,4,5,6,4,7,5,7,6,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
2,4,5,6,6,4,5,7,5,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
2,4,6,6,7,5,5,6,3,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
4,6,5,7,6,5,5,6,6,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
4,5,6,7,7,3,2,4,4,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
3,4,6,7,6,3,3,5,4,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
