EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,1,3,2,4,1,0,4,4,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
4,1,3,2,4,2,0,4,4,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
4,1,5,2,3,2,0,5,4,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
4,1,5,4,4,2,1,5,4,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
4,1,6,3,4,2,2,6,4,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
4,1,8,6,4,3,6,6,4,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
3,2,8,6,5,6,7,5,4,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
4,3,7,5,5,7,5,6,4,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
2,2,8,5,5,7,5,7,4,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
2,2,8,6,4,7,5,7,4,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
2,2,6,5,4,8,5,7,4,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
