EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,11,7,10,8,8,9,9,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
11,11,11,7,10,8,8,9,9,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
11,11,11,7,10,8,8,10,9,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
11,11,11,8,10,8,8,10,9,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
11,11,11,8,10,8,8,11,9,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
11,11,10,9,10,9,8,11,9,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
11,11,11,10,10,11,7,11,9,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
10,11,10,10,10,11,10,11,10,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
10,11,10,10,10,10,8,11,10,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
9,11,9,10,10,11,10,11,10,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
9,11,9,10,10,10,8,11,10,13,thomas; blogi; kristjan; watson; port; mõtle; arvutipark; tehnoloogia; suurelt; arvuti; google
