EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,2,2,2,2,3,4,11,reena; tehnika; muhu; kaitseliit
4,4,4,2,3,2,2,3,4,11,reena; tehnika; muhu; kaitseliit
4,4,4,2,4,2,2,3,4,11,reena; tehnika; muhu; kaitseliit
4,4,4,3,4,2,2,3,4,11,reena; tehnika; muhu; kaitseliit
4,3,4,3,4,2,2,3,4,11,reena; tehnika; muhu; kaitseliit
4,3,3,3,4,2,2,3,4,11,reena; tehnika; muhu; kaitseliit
4,3,3,3,4,2,3,4,4,11,tehnika; reena; muhu; kaitseliit
3,3,3,4,4,3,3,4,4,11,reena; tehnika; muhu; kaitseliit
3,3,4,4,4,4,3,4,4,11,reena; tehnika; muhu; kaitseliit
3,3,4,4,4,4,4,4,4,11,reena; tehnika; muhu; kaitseliit
3,3,4,4,4,4,4,4,4,11,reena; tehnika; muhu; kaitseliit
