EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,6,7,4,9,7,10,5,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
9,6,4,7,6,9,7,10,5,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
9,5,4,7,6,9,7,9,5,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
9,5,4,7,6,9,8,10,5,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
9,5,6,7,6,8,8,10,5,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
10,2,6,7,6,10,9,8,5,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
6,5,7,6,6,9,9,8,6,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
6,3,7,5,7,10,8,8,7,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
4,3,9,5,6,8,6,7,8,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
4,4,8,4,7,8,6,7,7,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
4,5,8,4,6,7,6,6,5,15,turniir; paul; hendrik; maletaja; malering; olde; klubi; eesti; partii; kilingi-nõmme; keres; võistkond
