EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,5,6,5,6,6,6,7,6,13,saepuru; uno; eesti; buldooser; vesi; toru; veehoidla; pauts; sügavus; ekskavaator; põllumajanduse
10,4,8,5,6,6,6,7,6,13,saepuru; uno; eesti; buldooser; vesi; toru; veehoidla; pauts; sügavus; ekskavaator; põllumajanduse
10,4,8,5,7,7,6,7,6,13,saepuru; uno; eesti; buldooser; vesi; toru; veehoidla; pauts; sügavus; ekskavaator; põllumajanduse
9,4,9,7,7,8,7,7,6,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
8,4,9,6,8,8,7,7,5,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
9,5,8,6,8,10,8,6,6,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
8,4,11,8,7,10,8,9,7,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
7,3,9,9,7,9,7,8,7,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
4,4,8,10,7,9,8,9,6,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
4,4,8,10,9,9,6,11,6,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
4,4,8,10,9,9,8,7,5,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
