EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,4,6,4,5,4,5,5,14,vinger; lavastus; raadio; muusikanõukogu; merivoo-parro; maarja; rajasaare; kristo; mart; singer
7,7,5,6,4,5,5,5,5,14,vinger; lavastus; raadio; muusikanõukogu; merivoo-parro; maarja; rajasaare; kristo; mart; singer
7,7,5,7,4,6,4,5,5,14,vinger; lavastus; raadio; muusikanõukogu; merivoo-parro; maarja; rajasaare; kristo; mart; singer
7,6,6,7,4,6,4,5,6,14,vinger; lavastus; raadio; muusikanõukogu; merivoo-parro; maarja; rajasaare; kristo; mart; singer
7,6,5,7,4,6,3,5,6,14,vinger; lavastus; raadio; muusikanõukogu; merivoo-parro; maarja; rajasaare; mart; singer
8,6,8,8,4,6,5,7,6,14,vinger; lavastus; noorma; raadio; muusikanõukogu; merivoo-parro; maarja; rajasaare; mart; kristo; singer
6,5,5,7,4,4,4,7,6,14,vinger; lavastus; noorma; raadio; muusikanõukogu; rajasaare; maarja; merivoo-parro; mart; kristo; singer
5,6,6,8,4,6,5,8,6,14,vinger; lavastus; noorma; muusikanõukogu; mart; raadio; rajasaare; maarja; merivoo-parro; kristo; singer
4,5,9,9,5,7,6,7,4,14,vinger; lavastus; noorma; raadio; muusikanõukogu; rajasaare; maarja; merivoo-parro; mart; kristo; singer
4,6,10,8,6,8,5,7,5,14,vinger; lavastus; noorma; muusikanõukogu; mart; raadio; rajasaare; maarja; merivoo-parro; kristo; singer
3,5,8,8,6,6,6,3,5,14,vinger; lavastus; noorma; raadio; muusikanõukogu; rajasaare; maarja; kristo; merivoo-parro; mart; singer
