EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,6,7,3,5,7,6,6,6,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
9,6,8,4,5,7,6,7,6,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
9,6,8,3,5,7,6,6,6,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
9,5,7,4,6,7,5,6,6,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
8,5,8,5,7,6,4,6,6,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
8,5,9,5,7,6,5,6,6,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
6,7,7,6,7,7,4,6,6,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
3,7,7,7,7,6,4,6,6,13,komisjon; salme; rahvakultuurifestival; janek; tartu; euro; laevaliiklus; euroopa; ants
3,6,6,7,8,7,3,5,6,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
2,6,5,7,7,7,5,8,7,13,komisjon; salme; rahvakultuurifestival; janek; tartu; euro; laevaliiklus; euroopa; ants
2,4,5,7,6,7,5,7,6,13,komisjon; salme; rahvakultuurifestival; janek; tartu; euro; laevaliiklus; euroopa; ants
