EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,7,7,6,5,4,5,11,kristi; mulgi; ilves; koolitus; pidu; kodukohvik; turismitalu
5,5,5,7,7,6,5,3,5,11,kristi; mulgi; ilves; koolitus; pidu; kodukohvik; turismitalu
5,5,5,7,7,6,5,3,5,11,kristi; mulgi; ilves; koolitus; pidu; kodukohvik; turismitalu
5,5,6,7,7,6,5,4,5,11,kristi; mulgi; ilves; koolitus; pidu; kodukohvik; turismitalu
6,6,7,7,7,5,5,5,5,11,kristi; mulgi; pidu; ilves; koolitus; kodukohvik; turismitalu
7,6,7,7,6,6,7,6,7,11,kristi; mulgi; pidu; ilves; koolitus; kodukohvik; turismitalu
7,6,7,7,6,7,6,6,7,11,kristi; mulgi; pidu; ilves; koolitus; kodukohvik; turismitalu
7,7,7,6,7,5,5,7,6,11,kristi; mulgi; pidu; koolitus; ilves; kodukohvik; turismitalu
6,6,6,5,7,5,7,6,6,11,kristi; turismitalu; mulgi; koolitus; pidu; kodukohvik; ilves
6,7,7,6,7,5,6,6,7,11,kristi; turismitalu; mulgi; koolitus; pidu; kodukohvik; ilves
6,7,7,5,6,4,6,4,7,11,kristi; turismitalu; mulgi; koolitus; pidu; kodukohvik; ilves
