EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,10,9,10,9,9,10,14,aasta; jäähoki; andres; kanada; televisiooni; hääl; kasekamp; senjoriita; trump; donald
10,10,10,10,9,10,9,9,10,14,aasta; jäähoki; andres; kanada; televisiooni; hääl; kasekamp; senjoriita; trump; donald
10,10,10,10,8,10,9,9,10,14,aasta; jäähoki; andres; kanada; televisiooni; hääl; kasekamp; senjoriita; trump; donald
10,10,10,10,9,10,9,9,10,14,aasta; jäähoki; andres; kanada; televisiooni; hääl; kasekamp; senjoriita; trump; donald
10,10,10,10,10,10,9,9,9,14,aasta; jäähoki; andres; kanada; televisiooni; hääl; kasekamp; senjoriita; trump; donald
10,10,10,10,10,10,9,8,10,14,aasta; jäähoki; andres; kanada; televisiooni; hääl; kasekamp; senjoriita; trump; donald
10,10,10,10,10,10,9,9,10,14,aasta; jäähoki; andres; kanada; televisiooni; hääl; kasekamp; senjoriita; trump; donald
10,10,10,10,10,9,9,9,10,14,aasta; jäähoki; andres; kanada; televisiooni; hääl; kasekamp; senjoriita; trump; donald
10,10,10,10,10,10,9,9,10,14,aasta; jäähoki; andres; kanada; televisiooni; hääl; senjoriita; kasekamp; trump; donald
10,10,10,10,10,9,9,10,10,14,aasta; jäähoki; andres; kanada; televisiooni; hääl; senjoriita; kasekamp; trump; donald
10,10,10,10,10,10,9,10,10,14,aasta; jäähoki; andres; kanada; televisiooni; hääl; senjoriita; kasekamp; trump; donald
